한글,영어,일어
절대연속측도,absolutely continuous measure,絶?連?測度                                                                                                                                                                                                                                                         
절대연속변환,absolutely continuous transformation,絶?連??換                                                                                                                                                                                                                                                         
절대수렴하는,absolutely convergent,絶??束の                                                                                                                                                                                                                                                          
절대수렴적분,absolutely convergent integral,絶??束積分                                                                                                                                                                                                                                                         
절대수렴급수,absolutely convergent series,絶??束級?                                                                                                                                                                                                                                                         
절대볼록막,absolutely convex hull,絶?凸包                                                                                                                                                                                                                                                           
절대불연속함수,absolutely discontinuous function,絶?不連???                                                                                                                                                                                                                                                        
절대적분가능한,absolutely integrable,"絶?可積な,絶?積分可能な                                                                                                                                                                                                                                                  "
절대 적분가능 함수,absolutely integrable function,
절대기약지표,absolutely irreducible character,絶??約指標                                                                                                                                                                                                                                                         
절대기약표현,absolutely irreducible representation,絶??約表現                                                                                                                                                                                                                                                         
절대기약다양체,absolutely irreducible variety,絶??約多??                                                                                                                                                                                                                                                        
절대정규수,absolutely normal number,絶?正規?                                                                                                                                                                                                                                                          
절대소이데알,absolutely prime ideal,絶?素イデアル                                                                                                                                                                                                                                                        
절대반단순대수,absolutely semisimple algebra,絶?半?純代?                                                                                                                                                                                                                                                        
절대단순군,absolutely simple group,絶??純群                                                                                                                                                                                                                                                          
절대값을 더할 수 있는,absolutely summable,
절대가합인,absolutely summable,
절대합 가능한,absolutely summable,
절대불편추정량,absolutely unbiased estimator,絶?不偏推定量                                                                                                                                                                                                                                                        
흡수벽,absorbing barrier,吸?壁                                                                                                                                                                                                                                                            
흡수집합,absorbing set,吸?集合                                                                                                                                                                                                                                                           
흡수상태,absorbing state,吸??態                                                                                                                                                                                                                                                           
흡수,absorption,吸?                                                                                                                                                                                                                                                             
흡수상수,absorption coefficient,吸?係?                                                                                                                                                                                                                                                           
흡수곡선,absorption curve,吸?曲線                                                                                                                                                                                                                                                           
흡수인수,absorption factor,吸?率                                                                                                                                                                                                                                                            
흡수지수,absorption index,吸?指?                                                                                                                                                                                                                                                           
