한글,영어,일어
추정량의 점근적 성질,asymptotic property of estimator,
점근수렴속도,asymptotic rate of convergence,漸近?束率                                                                                                                                                                                                                                                          
점근급수,asymptotic series,漸近級?                                                                                                                                                                                                                                                           
점근해,asymptotic solution,漸近解                                                                                                                                                                                                                                                            
점근적안정성,asymptotic stability,"漸近安定性                                                                                                                                                                                                                                                          ,漸近安定性                                                                                                                                                                                                                                                          "
점근적 안정성,asymptotic stability,"漸近安定性                                                                                                                                                                                                                                                          ,漸近安定性                                                                                                                                                                                                                                                          "
점근곡면,asymptotic surface,漸近曲面                                                                                                                                                                                                                                                           
점근적불편추정량,asymptotic unbiased estimator,漸近的不偏推定量                                                                                                                                                                                                                                                       
점근값,asymptotic value,漸近値                                                                                                                                                                                                                                                            
점근유효추정량,asymptotically efficient estimator,漸近有?推定量                                                                                                                                                                                                                                                        
점근적으로 같은,asymptotically equal,漸近的に等しい                                                                                                                                                                                                                                                        
점근적동등함수,asymptotically equivalent function,漸近的同値??                                                                                                                                                                                                                                                        
점근정규분포,asymptotically normal distribution,漸近正規分布                                                                                                                                                                                                                                                         
점근정규분포된,asymptotically normally distributed,漸近正規分布した                                                                                                                                                                                                                                                       
점근안정,asymptotically stable,"漸近安定な                                                                                                                                                                                                                                                          ,漸近安定な                                                                                                                                                                                                                                                          "
점근안정인,asymptotically stable,"漸近安定な                                                                                                                                                                                                                                                          ,漸近安定な                                                                                                                                                                                                                                                          "
비동기콤퓨터,asynchronous computer,非同期式計算機                                                                                                                                                                                                                                                        
임의로,at random,"でたらめに                                                                                                                                                                                                                                                          ,でたらめに                                                                                                                                                                                                                                                          "
확률적으로,at random,"でたらめに                                                                                                                                                                                                                                                          ,でたらめに                                                                                                                                                                                                                                                          "
아티야-싱거지수정리,Atiyah-Singer index theorem,アティヤシンガ?指?定理                                                                                                                                                                                                                                                   
좌표근방계,atlas,"座標近傍系,アトラス                                                                                                                                                                                                                                                     "
확률측도의 원자,atom of probability measure,
원자적 부울 대수,atomic Boolean algebra,
원자 격자,atomic lattice,原子束                                                                                                                                                                                                                                                            
가장 기본적 문장,atomic sentence,
붙임,attaching,
붙임사상,attaching map,接着?像                                                                                                                                                                                                                                                           
끄는 힘,attraction,引力/吸引                                                                                                                                                                                                                                                          
특성함수의 끄는 힘,attraction of characteristic functions,
속성,attribute,計?/?性                                                                                                                                                                                                                                                          
덧붙임,augmentation,"添加/?大                                                                                                                                                                                                                                                          ,添加/?大                                                                                                                                                                                                                                                          "
붙임행렬,augmented matrix,"?大行列                                                                                                                                                                                                                                                           ,?大行列                                                                                                                                                                                                                                                           "
첨가행렬,augmented matrix,"?大行列                                                                                                                                                                                                                                                           ,?大行列                                                                                                                                                                                                                                                           "
인증,authentication,
자기촉매곡선,autocatalytic curve,自己?媒曲線                                                                                                                                                                                                                                                         
자기상관계수,autocorrelation coefficient,自己相?係?                                                                                                                                                                                                                                                         
자기공분산,autocovariance,自己共分散                                                                                                                                                                                                                                                          
자동부호화,automatic coding,"自動コ?ディング,自動コ?ド化                                                                                                                                                                                                                                                "
자동제어,automatic control,自動制御                                                                                                                                                                                                                                                           
자동제어체계,automatic control system,自動制御系                                                                                                                                                                                                                                                          
자동화,automation,"自動化,オ?トメション                                                                                                                                                                                                                                                    "
보형식,automorphic form,保形                                                                                                                                                                                                                                                             
자기동형사상,automorphism,自己同形                                                                                                                                                                                                                                                           
자율적,autonomous,
자율방정식,autonomous equation,
자율계,autonomous system,"自?系,自律系                                                                                                                                                                                                                                                        "
자기회귀 과정,autoregressive process,自己回?過程                                                                                                                                                                                                                                                         
보조적,auxiliary,補助                                                                                                                                                                                                                                                             
보조원,auxiliary circle,補助円                                                                                                                                                                                                                                                            
보조대각선,auxiliary diagonal,
보조함수,auxiliary function,補助??                                                                                                                                                                                                                                                           
보조선,auxiliary line,補助線                                                                                                                                                                                                                                                            
보조자,auxiliary scale,補助尺                                                                                                                                                                                                                                                            
보조변수,auxiliary variable,補助??                                                                                                                                                                                                                                                           
평균조사량,average amount of inspection,"平均?査量                                                                                                                                                                                                                                                          ,平均?査量                                                                                                                                                                                                                                                          "
평균검사량,average amount of inspection,"平均?査量                                                                                                                                                                                                                                                          ,平均?査量                                                                                                                                                                                                                                                          "
평균 여분불량수 한계,average extra defectives limit,
평균결점수,average number of defects,平均欠点?                                                                                                                                                                                                                                                          
분포의 평균,average of distribution,
분포 평균,average of distribution,
평균 출검품질,average outgoing quality,平均出?品質                                                                                                                                                                                                                                                         
평균 출검품질 한계,average outgoing quality limit,平均出?品質限界                                                                                                                                                                                                                                                       
평균 품질,average quality,平均品質                                                                                                                                                                                                                                                           
평균 품질보호,average quality protection,平均品質保護                                                                                                                                                                                                                                                         
평균변화율,average rate of change,平均變化率                                                                                                                                                                                                                                                          
평균표본수,average sample number,"平均?取り個? /平均?査個?,平均?取り個?                                                                                                                                                                                                                                        "
평균표본수 곡선,average sample number curve,平均?査個?曲線                                                                                                                                                                                                                                                       
확률변수의 평균값,average value of random variable,
축의,axial,軸性の/軸の                                                                                                                                                                                                                                                         
축대칭,axial symmetry,對象の軸                                                                                                                                                                                                                                                           
축벡터,axial vector,軸性ベクトル                                                                                                                                                                                                                                                         
축대칭흐름,axially symmetric flow,軸??流                                                                                                                                                                                                                                                           
공리,axiom,公理                                                                                                                                                                                                                                                             
도달가능공리,axiom of accessibility,"到達可能性公理                                                                                                                                                                                                                                                        ,到達可能性公理                                                                                                                                                                                                                                                        "
도달가능성공리,axiom of accessibility,"到達可能性公理                                                                                                                                                                                                                                                        ,到達可能性公理                                                                                                                                                                                                                                                        "
가법공리,axiom of addition,加法の公理                                                                                                                                                                                                                                                          
아르키메데스 공리,Axiom of Archimedes,
선택공리,axiom of choice,
완비공리,axiom of completeness,完備性公理                                                                                                                                                                                                                                                          
내포의공리,axiom of comprehension,"?包の公理                                                                                                                                                                                                                                                          ,?包の公理                                                                                                                                                                                                                                                          "
내포공리,axiom of comprehension,"?包の公理                                                                                                                                                                                                                                                          ,?包の公理                                                                                                                                                                                                                                                          "
구성가능성공리,axiom of constructivity,"構成可能性公理                                                                                                                                                                                                                                                        ,構成可能性公理                                                                                                                                                                                                                                                        "
구성공리,axiom of constructivity,"構成可能性公理                                                                                                                                                                                                                                                        ,構成可能性公理                                                                                                                                                                                                                                                        "
무한공리,axiom of infinity,無限公理                                                                                                                                                                                                                                                           
순서수 공리,axiom of ordinality,
순서수의 공리,axiom of ordinality,
짝공리,axiom of pairing,
짝의 공리,axiom of pairing,
짝 공리,axiom of pairing,
멱의 공리,axiom of power,
멱 공리,axiom of power,
확률 공리,axiom of probability,
확률의 공리,axiom of probability,
분류 공리,axiom of specification,
분류의 공리,axiom of specification,
공리기본꼴,axiom schema,
공리적,axiomatic,公理的                                                                                                                                                                                                                                                            
논증기하,axiomatic geometry,
공리론적 기하,axiomatic geometry,
공리적 방법,axiomatic method,公理的方法                                                                                                                                                                                                                                                          
공리적 집합론,axiomatic set theory,公理論的集合論                                                                                                                                                                                                                                                        
공리주의,axiomatism,
공리화,axiomatization,公理化                                                                                                                                                                                                                                                            
합동공리,axioms of congruence,合同公理                                                                                                                                                                                                                                                           
축,axis,軸                                                                                                                                                                                                                                                              
절대수렴축,axis of absolute convergence,絶??束軸                                                                                                                                                                                                                                                          
곡률축,axis of curvature,曲率軸                                                                                                                                                                                                                                                            
종축,axis of ordinates,"縱軸/?(座標)軸/?軸                                                                                                                                                                                                                                                   ,縱軸/?(座標)軸/?軸                                                                                                                                                                                                                                                   "
세로축,axis of ordinates,"縱軸/?(座標)軸/?軸                                                                                                                                                                                                                                                   ,縱軸/?(座標)軸/?軸                                                                                                                                                                                                                                                   "
사영축,axis of projection,射影軸                                                                                                                                                                                                                                                            
대칭축,axis of symmetry,對稱軸                                                                                                                                                                                                                                                            
방위각,azimuth,方位角                                                                                                                                                                                                                                                            
역대입법,back substitution,
후진차분,backward difference,後進差分                                                                                                                                                                                                                                                           
후진확산방정식,backward diffusion equation,
후진방정식,backward equation,
후진오차해석,backward error analysis,
후진마팅게일,backward martingale,
균형,balance,"平衡,釣り合い/つりあい                                                                                                                                                                                                                                                   "
균형방정식,balance equation,
균형 잡힌 양쪽가군,balanced bimodule,
균형표본,balanced sample,"釣合いのとれた標本/つりあいのとれた標本                                                                                                                                                                                                                                           ,釣合いのとれた標本/つりあいのとれた標本                                                                                                                                                                                                                                           "
균형이 잡힌 표본,balanced sample,"釣合いのとれた標本/つりあいのとれた標本                                                                                                                                                                                                                                           ,釣合いのとれた標本/つりあいのとれた標本                                                                                                                                                                                                                                           "
투표 문제,ballot problem,
바나흐 대수,Banach algebra,"normed ring/ノルム環                                                                                                                                                                                                                                               ,normed ring/ノルム環                                                                                                                                                                                                                                               "
바나흐 극한,Banach limit,
바나흐 공간,Banach space,"バナッハ空間                                                                                                                                                                                                                                                         ,バナッハ空間                                                                                                                                                                                                                                                         "
대역,band,"?,バンド                                                                                                                                                                                                                                                          ,?,バンド                                                                                                                                                                                                                                                          "
띠,band,"?,バンド                                                                                                                                                                                                                                                          ,?,バンド                                                                                                                                                                                                                                                          "
띠도표,band chart,"?形?                                                                                                                                                                                                                                                            ,?形?                                                                                                                                                                                                                                                            "
띠그래프,band graph,
띠행렬,band matrix,?行列                                                                                                                                                                                                                                                            
막대도표,bar chart,
단체의 무게중심,barycenter of a simplex,??の重心                                                                                                                                                                                                                                                          
무게중심의,barycentric,重心の                                                                                                                                                                                                                                                            
무게중심복체,barycentric complex,重心複?                                                                                                                                                                                                                                                           
무게중심좌표,barycentric coordinates,
중심좌표,barycentric coordinates,
무게중심 보간공식,barycentric interpolation formula,
무게중심세분,barycentric subdivision,重心細分                                                                                                                                                                                                                                                           
밑각,base angle,底角                                                                                                                                                                                                                                                             
기저곡선,base curve,
밑곡선,base curve,
밑선,base line,基線/底線                                                                                                                                                                                                                                                          
밑수,base number,基?                                                                                                                                                                                                                                                             
밑면,base plane,
기저점,base point,基点                                                                                                                                                                                                                                                             
밑공간,base space,"底空間                                                                                                                                                                                                                                                            ,底空間                                                                                                                                                                                                                                                            "
기저공간,base space,"底空間                                                                                                                                                                                                                                                            ,底空間                                                                                                                                                                                                                                                            "
기저벡터,base vector,基底                                                                                                                                                                                                                                                             
기본가능점,basic feasible point,
기본형,basic form,"基底形式                                                                                                                                                                                                                                                           ,基底形式                                                                                                                                                                                                                                                           "
기본꼴,basic form,"基底形式                                                                                                                                                                                                                                                           ,基底形式                                                                                                                                                                                                                                                           "
기본부분군,basic subgroup,
바탕,basis,"基,基底                                                                                                                                                                                                                                                           ,基,基底                                                                                                                                                                                                                                                           ,基,基底                                                                                                                                                                                                                                                           "
베이즈 추정값,Bayes estimate,
베이즈 추정,Bayes estimate,
베이즈 공식,Bayes formula,
베이즈 방법,Bayesian method,
베이즈의 통계적 추론,Bayesian statistical inference,
방위,bearing,
벡터의 방위,bearing of a vector,
종모양분포,bell-shaped distribution,
속한다,belong,
베르누이방정식,Bernoulli equation,ベルヌ?イ方程式                                                                                                                                                                                                                                                       
베르누이방법,Bernoulli method,ベルヌ?イ方法                                                                                                                                                                                                                                                        
베르누이 시행,Bernoulli trial,
베르누이시행,Bernoulli trials,ベルヌ?イ試行                                                                                                                                                                                                                                                        
베르뜨랑의 짝,Bertrand mate,
베셀 방정식,Bessel equation,
베셀 함수,Bessel function,ベッセル??                                                                                                                                                                                                                                                         
베셀 보간법,Bessel interpolation,
베셀 사이채우기,Bessel interpolation,
베셀 부등식,Bessel's inequality,
최적근사,best approximation,最良近似                                                                                                                                                                                                                                                           
최적어림,best approximation,最良近似                                                                                                                                                                                                                                                           
최적 선형어림,best linear approximation,
최적선형근사,best linear approximation,
최적선형 불편추정량,best linear unbiased estimator,
최적검정,best test,最良?定                                                                                                                                                                                                                                                           
베타함수,Beta function,ベ?タ                                                                                                                                                                                                                                                            
베타확률변수,beta random variable,
